location_name,latitude,longitude,parameter,value,unit,year,month,day,hour
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,9,6
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,9,7
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,9,8
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,9,10
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,5,9,11
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,5,9,12
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,9,13
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,5,9,14
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,9,15
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,5,9,16
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,5,9,17
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,5,9,18
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,5,9,19
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,5,9,20
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,5,9,21
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,5,9,22
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,5,9,23
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,5,10,0
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,10,1
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,5,10,2
Albemarle HS,38.07657,-78.50397,o3,0.029,ppm,2020,5,10,3
Albemarle HS,38.07657,-78.50397,o3,0.023,ppm,2020,5,10,4
Albemarle HS,38.07657,-78.50397,o3,0.019,ppm,2020,5,10,5
Albemarle HS,38.07657,-78.50397,o3,0.018,ppm,2020,5,10,6
Albemarle HS,38.07657,-78.50397,o3,0.017,ppm,2020,5,10,7
Albemarle HS,38.07657,-78.50397,o3,0.014,ppm,2020,5,10,8
Albemarle HS,38.07657,-78.50397,o3,0.009,ppm,2020,5,10,9
Albemarle HS,38.07657,-78.50397,o3,0.009,ppm,2020,5,10,10
Albemarle HS,38.07657,-78.50397,o3,0.013,ppm,2020,5,10,11
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,5,10,12
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,5,10,13
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,5,10,14
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,5,10,15
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,5,10,16
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,5,10,17
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,5,10,18
Albemarle HS,38.07657,-78.50397,o3,0.049,ppm,2020,5,10,19
Albemarle HS,38.07657,-78.50397,o3,0.049,ppm,2020,5,10,20
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,5,10,21
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,5,10,22
Albemarle HS,38.07657,-78.50397,o3,0.049,ppm,2020,5,10,23
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,5,11,0
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,5,11,1
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,5,11,2
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,5,11,3
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,5,11,4
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,5,11,5
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,5,11,6
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,11,7
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,5,11,8
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,5,11,9
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,5,11,10
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,5,11,11
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,5,11,12
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,5,11,13
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,5,11,14
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,5,11,15
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,5,11,16
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,5,11,17
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,5,11,18
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,5,11,19
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,5,11,20
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,5,11,21
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,11,22
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,11,23
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,5,12,0
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,12,1
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,5,12,2
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,5,12,3
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,12,4
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,5,12,5
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,5,12,6
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,5,12,7
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,5,12,8
Albemarle HS,38.07657,-78.50397,o3,0.05,ppm,2020,5,13,16
Albemarle HS,38.07657,-78.50397,o3,0.049,ppm,2020,5,13,17
Albemarle HS,38.07657,-78.50397,o3,0.05,ppm,2020,5,13,18
Albemarle HS,38.07657,-78.50397,o3,0.051,ppm,2020,5,13,19
Albemarle HS,38.07657,-78.50397,o3,0.051,ppm,2020,5,13,20
Albemarle HS,38.07657,-78.50397,o3,0.05,ppm,2020,5,13,21
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,14,3
Albemarle HS,38.07657,-78.50397,o3,0.026,ppm,2020,5,14,4
Albemarle HS,38.07657,-78.50397,o3,0.024,ppm,2020,5,14,5
Albemarle HS,38.07657,-78.50397,o3,0.019,ppm,2020,5,14,6
Albemarle HS,38.07657,-78.50397,o3,0.017,ppm,2020,5,14,7
Albemarle HS,38.07657,-78.50397,o3,0.018,ppm,2020,5,14,8
